#proc cat nGausRV nGausWV
SMS_TChiHH_HToGG_m127 diBBH_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127 diBBH_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127 diBBH_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127 diBBH_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127 diBBH_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127 diBBH_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127 diBBZ_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127 diBBZ_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127 diBBZ_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127 diBBZ_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127 diBBZ_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127 diBBZ_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127 diLepZ 4 1
SMS_TChiHH_HToGG_m127 is1El_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127 is1El_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127 is1El_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127 is1El_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127 is1El_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127 is1El_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127 is1Mu_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127 is1Mu_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127 is1Mu_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127 is1Mu_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127 is1Mu_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127 is1Mu_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j0_b0toInf_pT0 4 1
SMS_TChiHH_HToGG_m127 j0_b0toInf_pT1 4 1
SMS_TChiHH_HToGG_m127 j0_b0toInf_pT2 4 1
SMS_TChiHH_HToGG_m127 j1to3_b0_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j1to3_b0_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j1to3_b0_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j1to3_b0_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j1to3_b0_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j1to3_b0_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j1to3_b1_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j1to3_b1_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j1to3_b1_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j1to3_b1_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j1to3_b1_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j1to3_b1_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j1to3_b2toInf_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j1to3_b2toInf_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j1to3_b2toInf_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j1to3_b2toInf_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j1to3_b2toInf_pT2_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j1to3_b2toInf_pT2_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b0_pT0_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b0_pT0_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b0_pT1_mt2_0 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b0_pT1_mt2_30 4 1
SMS_TChiHH_HToGG_m127 j4toInf_b0_pT2_mt2_0 4 1
