#proc cat nGausRV nGausWV
SMS_T2bH_mSbottom800_mLSP100 diBBH_pT0_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 diBBH_pT0_mt2_30 4 1
SMS_T2bH_mSbottom800_mLSP100 diBBH_pT1_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 diBBH_pT1_mt2_30 4 1
SMS_T2bH_mSbottom800_mLSP100 diBBH_pT2_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 diBBH_pT2_mt2_30 4 1
SMS_T2bH_mSbottom800_mLSP100 diBBZ_pT0_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 diBBZ_pT0_mt2_30 4 1
SMS_T2bH_mSbottom800_mLSP100 diBBZ_pT1_mt2_0 3 1
SMS_T2bH_mSbottom800_mLSP100 diBBZ_pT1_mt2_30 3 1
SMS_T2bH_mSbottom800_mLSP100 diBBZ_pT2_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 diBBZ_pT2_mt2_30 4 1
SMS_T2bH_mSbottom800_mLSP100 diLepZ 4 1
SMS_T2bH_mSbottom800_mLSP100 is1El_pT0_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 is1El_pT0_mt2_30 4 1
SMS_T2bH_mSbottom800_mLSP100 is1El_pT1_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 is1El_pT1_mt2_30 4 1
SMS_T2bH_mSbottom800_mLSP100 is1El_pT2_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 is1El_pT2_mt2_30 4 1
SMS_T2bH_mSbottom800_mLSP100 is1Mu_pT0_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 is1Mu_pT0_mt2_30 4 1
SMS_T2bH_mSbottom800_mLSP100 is1Mu_pT1_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 is1Mu_pT1_mt2_30 3 1
SMS_T2bH_mSbottom800_mLSP100 is1Mu_pT2_mt2_0 4 1
SMS_T2bH_mSbottom800_mLSP100 is1Mu_pT2_mt2_30 4 1
